text,code_frames,label
"Isang umano’y tinaguriang ‘shabu queen’ at lider ng sindikato sa ilegal na droga ang dinakip makaraang masabat dito ang mahigit sa P500,000 halaga ng pinaniniwalaang shabu sa buy-bust operation sa Lucena, Quezon nitong Martes.",7,6
Anthrax infection kumalat sa Cagayan,9,8
TESDA: Mga tech-voc graduate swak sa trabaho,10,9
Nagkamit ng unang pwesto ang isang Filipina student sa Amerika sa nagdaang English-Speaking Union (ESU) Kansas City Branch,15,14
NEDA inaprub tapyas taripa sa e-vehicle,6,5
Apat na pahinante ng isang tugboat ang nasagip ng mga tauhan ng Philippine Coast Guard (PCG) matapos itong lumubog malapit sa pier sa Surigao Del Norte kahapon nang umaga.,9,8
"Tinaas ng US State Department ang processing fees para sa mga non-immigrant visas, ayon sa anunsiyo ng US Embassy sa Maynila nitong Huwebes.",14,13
Patuloy na ipatutupad ng Archdiocese of Manila ang pagsout ng face mask sa loob ng mga simbahan.,9,8
Army corporal dedbol sa Cotabato ambush,7,6
"Bumagsak ang isang trainer aircraft ng Philippine Air Force (PAF) habang nagsasagawa ng standard training flight ang dalawang piloto nito sa San Fernando Air Base sa Lipa City, Batangas noong Lunes.",9,8
Kinarnap ng ‘di pa nakikilalang mga suspek ang vintage sports utility vehicle (SUV) ni Khalil Ramos.,7,6
"Ultra Lotto jackpot, mailap",15,14
Wala pa ring nakakakuha sa halos P166 milyon na jackpot prize sa Ultra Lotto 6/58.,15,14
"Sikyo na umastang lespu, huli sa boga",7,6
IMINUNGKAHI kay Pangulong Ferdinand “Bongbong” Marcos Jr. ang mas maagang pasok ng mga kawani ng gobyerno upang makatipid sa konsumo ng enerhiya.,6,5
"KMU, Bayan burado sa FB",13,12
Hiniling ng isang senador sa Movie and Television Review and Classification Board (MTRCB) na ipagbawal ang pagpapalabas ng Hollywood film ‘Plane’ sa Pilipinas dahil ipinapakita umano rito ang masamang imahen ng bansa.,6,5
Speaker Romualdez pinakakasa kahandaan sa ‘The big one’,9,8
"Todas ang isang 60-anyos na barangay chairman matapos itong ratratin ng hindi pa nakikilalang mga salarin sa  Lipa City, Batangas nitong Linggo ng madaling-araw.",7,6
"Bunsod ng matagal nang malabo ang tubig dala ng amihan, nagpatupad ng water service interruption ang Maynilad Water Service Incorporated sa limang barangay sa Parañaque City.",2,1
Umaabot sa pitong dump truck o katumbas na 24.2 tonelada ng mga basurang iniwan sa mga sementeryo sa Metro Manila ang nahakot ng Metropolitan Manila Development Authority (MMDA).,10,9
"Dalaga rumaket na delivery girl, tiklo sa P14M shabu",7,6
"Itinanghal ang Pilipinas bilang Best Dive Destination ng Diving, Resort, and Travel (DRT), isang international diving exhibition na naglalayong magbigay pagkilala, suporta, at paghikayat sa mga tao na maging passionate divers.",15,14
Muling inalarma ng Philippine Institute of Volcanology and Seismology (Phivolcs) ang mga residente sa paligid ng Bulkang Taal sa Batangas matapos itong yumanig ng 136 beses sa loob ng nakalipas na 24 oras.,9,8
Umaasa si Pangulong Ferdinand Marcos Jr. na magpapatuloy ang China sa paglalagak ng puhunan sa Pilipinas sa pamamagitan ng government-to-government cooperation at trade at infrastructure programs sa pamamagitan ng pribadong sektor.,14,13
BBM: Pananalig panabla sa unos ng buhay,3,2
"Pinalagan ng isang bahagi ng ‘Eat Bulaga’ ang mga naging pahayag ni Bullet Jalosjos, tumatayo ngayong chief finance officer ng TAPE Inc.",15,14
Speaker Romualdez magbibigay ng ayuda para sa Turkey quake,14,13
"Sakit sa puso, stroke, at kanser ang naging sanhi ng kamatayan ng halos kalahati sa mga taong pumanaw sa bansa mula Enero hanggang Nobyembre 2022.",9,8
Pulis timbog sa STL bookies,7,6
Inamin ni Senate President Juan Miguel Zubiri na inimbitahan siya ni Pangulong Ferdinand “Bongbong” Marcos Jr. na sumama sa biyahe sa Estados Unidos para sa pakikipag-usap kay President Joe Biden pero tinanggihan niya ito.,13,12
"Sa wakas, aayusin na Lagusnilad underpass",9,8
Foreman ninakawan na pinatay pa,7,6
DOTR Usec dinikdik ng Kongreso sa P50M kontrata,13,12
2 pulis sa dinukot na e-sabong agent lumutang,7,6
"Bato binawi contempt sa 6 pulis, pinalaya",7,6
"Suspek sa tsinuging beauty specialist, tukoy na",7,6
De Lima inurot na kasuhan si Ragos,13,12
Labis na ikinagalak ng pamilya ni dating Chief Justice Renato Corona ang desisyon ng Sandiganbayan na nagbabasura sa P130.59 milyong forfeiture case na isinampa laban sa kanila noong 2014.,5,4
Pope Francis umapela ng dasal para sa dating Santo Papa,3,2
"Sarhento kinustodiya, boga sumambulat sa kampo",7,6
Iimbitahan ng  on ways and means ang mga personalidad na iniuugnay sa large-scale smuggling ng mga produktong agrikultural sa bansa.,7,6
Nagpaliwanag ang Maynilad Water Services Inc. kung bakit madalas magkaroon ng water interruption ang kanilang serbisyo kumpara sa Manila Water Inc.,2,1
